Wall time,Step,Value
1531049482,2430,0.99000001
1531049483,2436,1
1531049485,2444,1
1531049485,2450,0.99000001
1531049486,2451,0.970000029
1531049486,2452,0.980000019
1531049486,2453,0.959999979
1531049486,2455,0.959999979
1531049487,2460,0.99000001
1531049490,2479,0.980000019
1531049490,2481,1
1531049491,2485,0.970000029
1531049491,2486,1
1531049493,2496,0.99000001
1531049493,2498,0.959999979
1531049494,2501,1
1531049494,2502,0.99000001
1531049494,2503,0.970000029
1531049496,2513,0.99000001
1531049496,2514,0.980000019
1531049496,2517,0.99000001
1531049497,2519,0.959999979
1531049497,2523,0.980000019
1531049498,2525,1
1531049498,2528,0.980000019
1531049498,2530,0.939999998
1531049499,2532,1
1531049499,2534,1
1531049500,2543,0.99000001
1531049501,2547,0.99000001
1531049502,2551,1
1531049502,2553,0.980000019
1531049502,2556,0.99000001
1531049503,2559,0.980000019
1531049504,2565,0.980000019
1531049504,2566,0.99000001
1531049504,2570,1
1531049505,2573,1
1531049505,2576,0.980000019
1531049506,2578,0.959999979
1531049507,2583,1
1531049507,2587,0.970000029
1531049507,2590,0.99000001
1531049508,2591,1
1531049508,2592,0.959999979
1531049508,2593,1
1531049508,2596,1
1531049509,2600,0.980000019
1531049510,2606,0.99000001
1531049510,2607,0.980000019
1531049511,2610,0.949999988
1531049512,2618,1
1531049513,2623,0.99000001
1531049513,2626,0.980000019
1531049513,2629,1
1531049514,2630,0.980000019
1531049514,2632,0.959999979
1531049514,2635,0.99000001
1531049515,2636,0.970000029
1531049515,2638,0.980000019
1531049516,2644,0.970000029
1531049516,2647,0.980000019
1531049517,2650,0.99000001
1531049517,2651,0.980000019
1531049518,2655,0.99000001
1531049519,2661,0.980000019
1531049521,2674,1
1531049521,2678,0.980000019
1531049521,2680,1
1531049522,2685,0.99000001
1531049523,2690,0.99000001
1531049524,2699,0.980000019
1531049525,2703,1
1531049526,2707,1
1531049526,2710,0.99000001
1531049529,2725,0.980000019
1531049530,2735,1
1531049530,2736,0.970000029
1531049530,2737,0.970000029
1531049531,2740,0.970000029
1531049532,2746,0.99000001
1531049533,2752,0.980000019
1531049533,2753,1
1531049533,2754,0.959999979
1531049533,2755,1
1531049533,2756,0.99000001
1531049534,2757,0.980000019
1531049534,2758,0.980000019
1531049535,2766,0.959999979
1531049538,2789,0.99000001
1531049539,2790,0.980000019
1531049539,2791,0.970000029
1531049540,2798,0.970000029
1531049542,2809,1
1531049542,2811,0.970000029
1531049543,2815,0.980000019
1531049544,2823,1
1531049544,2824,0.99000001
1531049544,2827,0.970000029
1531049545,2829,0.99000001
1531049545,2830,1
1531049545,2832,0.980000019
1531049548,2851,1
1531049549,2856,1
1531049549,2859,0.99000001
1531049550,2862,0.959999979
1531049551,2871,0.980000019
1531049551,2872,0.980000019
1531049552,2878,1
1531049552,2880,1
1531049553,2881,0.980000019
1531049554,2887,0.99000001
1531049554,2890,0.99000001
1531049554,2891,0.99000001
1531049555,2896,0.980000019
1531049555,2898,0.970000029
1531049556,2900,0.99000001
1531049556,2903,1
1531049556,2904,1
1531049558,2912,0.99000001
1531049559,2917,0.970000029
1531049559,2919,0.99000001
1531049559,2920,0.980000019
1531049559,2921,0.99000001
1531049561,2932,0.99000001
1531049562,2942,0.980000019
1531049564,2950,1
1531049566,2967,0.99000001
1531049567,2972,0.99000001
1531049567,2974,1
1531049568,2975,0.980000019
1531049568,2978,0.970000029
1531049570,2988,1
1531049571,2994,0.99000001
1531049571,2998,1
1531049572,3003,0.99000001
1531049572,3005,1
1531049572,3007,0.99000001
1531049573,3009,0.99000001
1531049573,3011,0.99000001
1531049574,3015,0.99000001
1531049574,3016,1
1531049574,3019,0.980000019
1531049574,3020,1
1531049575,3021,0.980000019
1531049575,3025,0.99000001
1531049576,3027,0.970000029
1531049576,3030,0.99000001
1531049576,3031,0.980000019
1531049577,3033,0.959999979
1531049577,3038,0.980000019
1531049578,3040,0.980000019
1531049578,3041,0.99000001
1531049578,3042,0.99000001
1531049579,3048,0.980000019
1531049579,3050,0.970000029
1531049580,3053,0.980000019
1531049581,3062,0.99000001
1531049581,3065,0.99000001
1531049582,3067,0.970000029
1531049582,3069,0.980000019
1531049582,3071,0.99000001
1531049583,3073,1
1531049584,3082,1
1531049585,3086,0.970000029
1531049585,3088,1
1531049586,3091,0.980000019
